Booking ID,Date of Booking,Customer ID,Gender,Age,Origin Country,Hotel Name,Hotel Rating,Booking Price[SGD],Discount
DDMY00001,1/1/2010,MY00001,Male,42,Malaysia,Hotel Triton,4.3, 243 ,1%
DDID00002,1/1/2010,ID00001,Female,44,Indonesia,Enchanted Isle,4.2, 312 ,0%
DDSG00003,1/1/2010,SG00001,Female,31,Singapore,Seacoast Hotel,4.5, 338 ,19%
DDSG00004,1/1/2010,SG00002,Male,28,Singapore,Night In Paradise,4.2, 254 ,19%
DDKH00005,1/1/2010,KH00001,Male,44,Cambodia,Tiny Digs Hotel,4.6, 313 ,15%
DDTH00006,1/1/2010,TH00001,Male,32,Thailand,Seascape,4.5, 161 ,1%
DDTH00007,1/1/2010,TH00002,Male,49,Thailand,Waldorf Astoria,4.6, 313 ,10%
DDMY00008,1/1/2010,MY00002,Female,58,Malaysia,The Westgate Hotel,4.1, 121 ,5%
DDSG00009,1/1/2010,SG00003,Male,57,Singapore,Firefly Motel,4.4, 173 ,20%
DDSG00010,1/1/2010,SG00004,Female,41,Singapore,Cape Grace,4.7, 309 ,16%
DDTH00011,1/1/2010,TH00003,Female,28,Thailand,Green Acres,4.2, 98 ,7%
DDMY00012,1/1/2010,MY00003,Male,40,Malaysia,The Empire Hotel,4.2, 146 ,1%
DDVN00013,1/1/2010,VN00001,Male,37,Vietnam,Small Town B&B,4.5, 253 ,17%
DDKH00014,1/1/2010,KH00002,Female,40,Cambodia,Hotel Fusion,4.5, 161 ,17%
DDKH00015,1/2/2010,KH00003,Male,51,Cambodia,The River Front Resort,4.4, 251 ,20%
DDVN00016,1/2/2010,VN00002,Female,25,Vietnam,Expedition,4.3, 162 ,6%
DDSG00017,1/2/2010,SG00005,Male,33,Singapore,Like Home Hotel,4.5, 253 ,20%
DDPH00018,1/2/2010,PH00001,Female,25,Philippines,Family Ties,4.4, 173 ,21%
DDMY00019,1/2/2010,MY00004,Female,33,Malaysia,Homewood Suites,4.3, 158 ,9%
DDSG00020,1/2/2010,SG00006,Female,31,Singapore,Hotel Emblem,4.1, 133 ,24%
DDSG00021,1/2/2010,SG00007,Female,32,Singapore,Voyage Resort,4.3, 125 ,8%
DDID00022,1/2/2010,ID00002,Female,36,Indonesia,Villa Florence,3.8, 93 ,9%
DDSG00023,1/2/2010,SG00008,Female,58,Singapore,Always Available,3.8, 99 ,15%
DDMY00024,1/2/2010,MY00005,Female,47,Malaysia,The Lodge at Sea Island,4.6, 222 ,20%
DDMY00025,1/2/2010,MY00006,Male,22,Malaysia,Enchanted Isle,4.3, 155 ,20%
DDMY00026,1/2/2010,MY00007,Female,58,Malaysia,Malibu Motel,4.6, 313 ,24%
DDMY00027,1/2/2010,MY00008,Male,30,Malaysia,Millennium Times Square,4.6, 222 ,6%
DDSG00028,1/2/2010,SG00009,Female,35,Singapore,Meadow Manor,3.8, 99 ,9%
DDMY00029,1/2/2010,MY00009,Male,52,Malaysia,Ace Hotel,4.6, 222 ,24%
DDID00030,1/2/2010,ID00003,Male,22,Indonesia,The Worldly Traveler,4.5, 329 ,2%
DDVN00031,1/2/2010,VN00003,Male,34,Vietnam,Cape Grace,4.4, 223 ,9%
DDTH00032,1/2/2010,TH00004,Female,26,Thailand,The Mississippi Hotel,4.4, 251 ,17%
DDVN00033,1/2/2010,VN00004,Male,27,Vietnam,AC Hotel,4.3, 125 ,20%
DDKH00034,1/2/2010,KH00004,Female,37,Cambodia,Adam Lake B&B,4.4, 173 ,13%
DDSG00035,1/3/2010,SG00010,Male,25,Singapore,Zzz Motel,4.5, 151 ,18%
DDID00036,1/3/2010,ID00004,Female,19,Indonesia,The Langham,3.8, 99 ,7%
DDTH00037,1/3/2010,TH00005,Female,22,Thailand,Happy Times Hotel,4.6, 333 ,9%
DDPH00038,1/3/2010,PH00002,Male,41,Philippines,Ebony Tropic Motel,4.5, 214 ,18%
DDPH00039,1/3/2010,PH00003,Male,42,Philippines,Harbor Hotel,4.2, 244 ,16%
DDSG00040,1/3/2010,SG00011,Female,20,Singapore,Acqualina Resort & Spa on the Beach,4.4, 97 ,12%
DDVN00041,1/3/2010,VN00005,Female,23,Vietnam,Dreamland Guest Home,3.9, 116 ,14%
DDID00042,1/3/2010,ID00005,Male,31,Indonesia,Park South Hotel,4.6, 428 ,11%
DDID00043,1/3/2010,ID00006,Female,42,Indonesia,Palm Bliss,4.1, 132 ,23%
DDKH00044,1/3/2010,KH00005,Male,35,Cambodia,The Harbor Hotel,4.1, 121 ,16%
DDPH00045,1/3/2010,PH00004,Female,54,Philippines,Stewart Hotel New York,4.4, 251 ,24%
DDVN00046,1/3/2010,VN00006,Male,22,Vietnam,Fun Palace Hotels,4.5, 136 ,22%
DDPH00047,1/3/2010,PH00005,Male,46,Philippines,Fairytale B&B,4.1, 162 ,21%
DDID00048,1/4/2010,ID00007,Male,34,Indonesia,Hotel Da Viva,4.6, 219 ,17%
DDPH00049,1/4/2010,PH00006,Male,35,Philippines,Five Star B&B,4.2, 312 ,10%
DDTH00050,1/4/2010,TH00006,Male,23,Thailand,Homefront B&B,4.6, 371 ,9%
DDSG00051,1/4/2010,SG00012,Male,58,Singapore,Green Tortoise Hostel,4.2, 98 ,1%
DDPH00052,1/4/2010,PH00007,Male,39,Philippines,Coast Hotels,4.2, 98 ,9%
DDTH00053,1/4/2010,TH00007,Female,58,Thailand,Holiday Hotel,4.2, 430 ,18%
DDSG00054,1/4/2010,SG00013,Female,52,Singapore,The River Front,3.7, 80 ,21%
DDMY00055,1/4/2010,MY00010,Female,32,Malaysia,Shilo Inns Rose Garden,4.3, 243 ,14%
DDID00056,1/5/2010,ID00008,Female,57,Indonesia,The Fresco Hotel,4.3, 115 ,12%
DDMY00057,1/5/2010,MY00011,Male,43,Malaysia,Pod 51 Hotel,4.6, 183 ,3%
DDID00058,1/5/2010,ID00009,Female,49,Indonesia,Motel Magic,4.6, 371 ,9%
DDPH00059,1/5/2010,PH00008,Male,34,Philippines,Four Seasons Resort Lanai,4.1, 121 ,23%
DDPH00060,1/5/2010,PH00009,Male,25,Philippines,Luxus Hotels,4.5, 253 ,4%
DDMY00061,1/5/2010,MY00012,Male,38,Malaysia,Homewood Suites,4.3, 125 ,14%
DDMY00062,1/5/2010,MY00013,Female,51,Malaysia,Cosmos Isle Motel,4.3, 243 ,0%
DDSG00063,1/5/2010,SG00014,Male,37,Singapore,Sunrise Cave,4.6, 219 ,15%
DDTH00064,1/5/2010,TH00008,Female,44,Thailand,Lexington,4.2, 430 ,18%
DDMY00065,1/6/2010,MY00014,Male,58,Malaysia,Noble Avenue B&B,4.1, 121 ,2%
DDID00066,1/6/2010,ID00010,Male,31,Indonesia,The Herbert Hotel,4.3, 145 ,20%
DDMY00067,1/6/2010,MY00015,Male,41,Malaysia,Beacon Hill Guest House,4.2, 213 ,24%
DDTH00068,1/6/2010,TH00009,Male,40,Thailand,Seascape,4.6, 291 ,13%
DDPH00069,1/6/2010,PH00010,Female,51,Philippines,Blossomwell Resorts,3.8, 98 ,18%
DDPH00070,1/6/2010,PH00011,Male,21,Philippines,Moonlight Motel,4.5, 136 ,19%
DDMY00071,1/6/2010,MY00016,Female,29,Malaysia,Premier Travel Inn,4.1, 133 ,5%
DDMY00072,1/6/2010,MY00017,Female,40,Malaysia,Paradise Motel,4.2, 430 ,11%
